run,direction,strategy,sharpe,sortino,treynor,information,calmar,cum_ret,mdd,mer
1,long,baseline,0.2592929300527395,0.36323796788536855,0.08255383041990688,0.16434444194245015,0.020133935394924737,0.15688264433590304,0.8107662417611061,0.00500267350246717
1,long,gps,0.910021889997971,2.57618880642365,0.37623303954997867,0.8528302696077307,0.8744491425228218,13.045826158480684,0.39022985524658627,0.0272368093733506
1,long,weighted,0.314498346221734,0.5353787617244081,0.04580609007854571,,0.09385753951114237,0.3733930927596183,0.38230923431262975,0.0
1,short,baseline,-0.25422924865492735,-0.410187033455994,-0.08862960034510095,0.0009285549907264925,-0.14797542449983334,-0.7151275365121944,0.8800625461865508,2.3314615703888695e-05
1,short,gps,-0.23149473383471159,-0.31854426556984955,-0.10507465511347536,-0.01958388362168602,-0.17578527841564245,-0.793978482920024,0.9158230416002789,-0.0006144483547066293
1,short,weighted,0.41539595482840086,0.7795353019556038,0.06132230266162146,5.304226298389142,0.14472463881476078,0.5960059759191969,0.368408035565865,0.012311875429205414
2,long,baseline,-0.12184795871156205,-0.1860694122552364,-0.09618315894427146,-0.24126060408766956,-0.16295025395656265,-0.7515537539660512,0.8797140929421504,-0.008765683446853174
2,long,gps,-0.4007609610769445,-0.5749852057038157,-0.17828581880070438,-0.5673871815679801,-0.22319064625235224,-0.8684675601551923,0.9041347164428086,-0.01681423265158335
2,long,weighted,0.3658883850740835,0.6926527871897777,0.05175350208542755,,0.12498353556075134,0.4582116900644697,0.3424693825774352,0.0
2,short,baseline,0.04505570517593703,0.07031958832193158,0.02027494584136146,0.3378757031141518,-0.05461639732223613,-0.301056906248248,0.7143803978782931,0.008904523213169783
2,short,gps,0.16402193399443638,0.36558037617070266,0.06370898779864134,0.388706154765374,-0.02187045897842998,-0.15913189578739295,0.8721162149203148,0.01395311525570307
2,short,weighted,0.32670531217601545,0.5171881515749055,0.0457287459071953,5.787395234093296,0.09647984592800603,0.3873943259629933,0.3840253180297494,0.011530150805329133
3,long,baseline,0.07651671174250574,0.1553871898122118,0.03796410342731467,0.004333001907496224,-0.07074002263179101,-0.42455583891961446,0.8418767632936037,0.00016929324027907378
3,long,gps,0.3894210136732135,0.817512139572045,0.19423068178209657,0.3221689915265206,0.12445758826909252,1.1194882405657292,0.6994022680651647,0.011334580024701965
3,long,weighted,0.24834054266786862,0.4393540686570679,0.035424226938573576,,0.05935579116772243,0.2563243308323455,0.43262218057709856,0.0
3,short,baseline,0.43804245233539674,0.8248197987060292,0.1451614370968407,0.6129987607087948,0.1327325474360738,1.4479285059104305,0.7879516140831867,0.027717257339886885
