Date,open,high,low,close,volume
2016-10-17,519.0,519.0,519.0,519.0,0
2016-10-18,518.25,518.25,518.25,518.25,0
2016-10-19,517.75,517.75,517.75,517.75,0
2016-10-20,517.5,517.5,517.5,517.5,0
2016-10-21,516.25,516.25,516.25,516.25,0
2016-10-24,507.25,507.25,507.25,507.25,0
2016-10-25,511.25,511.25,511.25,511.25,0
2016-10-26,516.75,516.75,516.75,516.75,0
2016-10-27,516.25,516.25,516.25,516.25,0
2016-10-28,511.5,511.5,511.5,511.5,0
2016-10-31,512.25,512.25,512.25,512.25,0
2016-11-01,512.0,512.0,512.0,512.0,0
2016-11-02,513.25,513.25,513.25,513.25,0
2016-11-03,511.75,511.75,511.75,511.75,0
2016-11-04,515.0,515.0,515.0,515.0,5
2016-11-07,513.75,513.75,513.75,513.75,3
2016-11-08,517.0,517.0,517.0,517.0,29
2016-11-09,517.5,517.5,517.5,517.5,19
2016-11-10,517.5,517.5,517.5,517.5,19
2016-11-11,516.75,516.75,516.75,516.75,0
2016-11-14,515.5,515.5,515.5,515.5,187
2016-11-15,517.5,517.5,517.5,517.5,3
2016-11-16,516.0,516.0,516.0,516.0,98
2016-11-17,519.0,519.0,519.0,519.0,0
2016-11-18,524.25,524.25,524.25,524.25,2
2016-11-21,527.25,527.25,527.25,527.25,2
2016-11-22,527.0,527.0,527.0,527.0,0
2016-11-23,523.5,523.5,523.5,523.5,68
2016-11-25,523.0,523.0,523.0,523.0,6
2016-11-28,521.0,521.0,521.0,521.0,0
2016-11-29,517.75,517.75,517.75,517.75,124
2016-11-30,513.0,513.0,513.0,513.0,48
2016-12-01,506.5,506.5,506.5,506.5,33
2016-12-02,510.0,510.0,510.0,510.0,25
2016-12-05,509.75,509.75,509.75,509.75,1
2016-12-06,506.75,506.75,506.75,506.75,3
2016-12-07,499.5,499.5,499.5,499.5,12
2016-12-08,500.5,500.5,500.5,500.5,3
2016-12-09,506.0,506.0,506.0,506.0,7
2016-12-12,508.25,508.25,508.25,508.25,0
2016-12-13,504.5,504.5,504.5,504.5,1
2016-12-14,504.0,504.0,504.0,504.0,0
2016-12-15,495.0,495.0,495.0,495.0,7
2016-12-16,497.25,497.25,497.25,497.25,15
2016-12-19,494.5,494.5,494.5,494.5,0
2016-12-20,494.5,494.5,494.5,494.5,0
2016-12-21,494.5,494.5,494.5,494.5,0
2016-12-22,491.5,491.5,491.5,491.5,1
2016-12-23,488.75,488.75,488.75,488.75,1
2016-12-27,498.25,498.25,498.25,498.25,0
2016-12-28,493.5,493.5,493.5,493.5,2
2016-12-29,493.5,493.5,493.5,493.5,0
